timestamp,value
0,21.18
1,21.28
2,21.18
3,21.28
4,21.29
5,21.29
6,21.39
7,21.49
8,21.51
9,21.3
10,20.97
11,20.97
12,21.02
13,21.15
14,23.54
15,21.49
16,21.18
17,21.18
18,21.18
19,21.31
20,21.29
21,21.28
22,21.38
23,21.46
24,21.49
25,21.49
26,20.97
27,20.97
28,20.97
29,21.07
30,21.07
31,21.12
32,21.19
33,21.2
34,21.17
35,21.27
36,21.29
37,21.35
38,23.89
39,21.69
40,21.49
41,21.48
42,20.97
43,20.97
44,20.97
45,21.07
46,21.08
47,21.07
48,21.17
49,21.17
50,21.18
51,21.19
52,21.28
53,21.28
54,21.32
55,21.39
56,21.5
57,21.49
58,21.08
59,20.99
60,20.96
61,21.14
62,23.58
63,21.2
64,21.17
65,21.18
66,21.2
67,21.18
68,21.29
69,21.28
70,21.28
71,21.7
72,21.53
73,21.49
74,21.38
75,20.97
76,20.97
77,21.02
78,21.07
79,21.07
80,21.16
81,21.21
82,21.18
83,21.18
84,21.29
85,21.36
86,23.73
87,22.07
88,21.47
89,21.5
90,21.5
91,21.05
92,21.08
93,20.98
94,21.09
95,21.14
96,21.13
97,21.41
98,21.23
99,21.2
100,21.24
101,21.3
102,21.3
103,21.38
104,21.41
105,21.5
106,21.5
107,20.97
108,20.98
109,21.05
110,23.59
111,21.42
112,21.11
113,21.2
114,21.2
115,21.32
116,21.19
117,21.3
118,21.29
119,21.33
120,21.44
121,21.57
122,21.53
123,21.34
124,20.99
125,21.02
126,21.08
127,21.09
128,21.09
129,21.2
130,21.2
131,21.2
132,21.2
133,21.38
134,23.8
135,21.62
136,21.41
137,21.51
138,21.51
139,21.47
140,21.1
141,21.09
142,21.03
143,21.3
144,21.11
145,21.27
146,21.2
147,21.37
148,21.2
149,21.3
150,21.31
151,21.31
152,21.41
153,21.5
154,21.52
155,21.52
156,20.99
157,21.06
158,23.49
159,21.35
160,21.09
161,21.14
162,21.2
163,21.44
164,21.69
165,21.26
166,21.31
167,21.5
168,21.43
169,21.43
170,21.51
171,21.51
172,20.99
173,21.0
174,20.99
175,21.1
176,21.1
177,21.1
178,21.2
179,21.2
180,21.2
181,21.29
182,23.75
183,21.58
184,21.35
185,21.41
186,21.52
187,21.52
188,21.08
189,21.0
190,20.99
191,21.1
192,21.1
193,21.09
194,21.2
195,21.2
196,21.2
197,21.2
198,21.3
199,21.3
200,21.3
201,21.41
202,21.51
203,21.51
204,21.39
205,21.06
206,23.5
207,21.37
208,21.1
209,21.12
210,21.19
211,21.2
212,21.2
213,21.2
214,21.31
215,21.3
216,21.31
217,21.41
218,21.47
219,21.51
220,21.51
221,20.98
222,20.98
223,20.98
224,21.1
225,21.09
226,21.13
227,21.22
228,21.19
229,21.26
230,23.75
231,21.61
232,21.3
233,21.41
234,21.51
235,21.53
236,21.63
237,20.98
238,20.98
239,21.01
240,21.14
241,21.42
242,21.22
243,21.2
244,21.11
245,21.11
246,21.13
247,21.24
248,21.26
249,21.29
250,21.37
251,21.47
252,21.48
253,21.14
254,23.41
255,21.26
256,21.04
257,21.05
258,21.07
259,21.32
260,21.16
261,21.16
262,21.16
263,21.26
264,21.29
265,21.29
266,21.46
267,21.56
268,21.52
269,21.36
270,20.95
271,20.95
272,21.0
273,21.05
274,21.05
275,21.16
276,21.16
277,21.24
278,23.66
279,21.42
280,21.26
281,21.26
282,21.36
283,21.45
284,21.47
285,21.47
286,20.95
287,20.95
288,20.95
289,21.25
290,21.06
291,21.12
292,21.3
293,21.27
294,21.23
295,21.22
296,21.29
297,21.28
298,21.36
299,21.41
300,21.48
301,21.56
302,23.46
303,21.28
304,20.97
305,21.07
306,21.07
307,21.48
308,21.36
309,21.21
310,21.18
311,21.23
312,21.34
313,21.62
314,21.47
315,21.51
316,21.55
317,21.49
318,21.15
319,20.97
320,20.98
321,21.03
322,21.07
323,21.09
324,21.17
325,21.25
326,23.67
327,21.53
328,21.28
329,21.28
330,21.27
331,21.61
332,21.65
333,21.54
334,21.42
335,20.96
